username,week,total_engagement,text_length,retweet_count,reply_count,like_count,quote_count,tweet_count,rolling_engagement,rolling_tweet_count,engagement_per_text_length,tweet_count_delta,degree_centrality,pagerank,betweenness_centrality,closeness_centrality,eigenvector_centrality,followers_count,friends_count,statuses_count,community,log_followers,engagement_per_follower
DrLupo,2025-04-21/2025-04-27,95.75,108.25,42.25,1.0,52.5,0.0,4,,,0.8845265588914549,0.0,0.2631578947368421,0.0921814964082348,0.0994152046783625,0.2245614035087719,0.4415714760613372,1815186.0,1255.0,41762.0,2,14.41169905067686,5.2749415211443894e-05
DrLupo,2025-04-28/2025-05-04,2945.375,161.875,38.875,586.125,2233.375,87.0,8,95.75,4.0,18.195366795366795,4.0,0.2631578947368421,0.0921814964082348,0.0994152046783625,0.2245614035087719,0.4415714760613372,1815186.0,1255.0,41762.0,2,14.41169905067686,0.0016226298572157344
DrLupo,2025-05-05/2025-05-11,3650.0,235.0,37.0,476.0,3125.0,12.0,1,1520.5625,6.0,15.53191489361702,-7.0,0.2631578947368421,0.0921814964082348,0.0994152046783625,0.2245614035087719,0.4415714760613372,1815186.0,1255.0,41762.0,2,14.41169905067686,0.002010813216937548
DrLupo,2025-05-12/2025-05-18,723.0,77.0,13.0,185.0,521.0,4.0,1,2230.375,4.333333333333333,9.38961038961039,0.0,0.2631578947368421,0.0921814964082348,0.0994152046783625,0.2245614035087719,0.4415714760613372,1815186.0,1255.0,41762.0,2,14.41169905067686,0.00039830628927283487
DrLupo,2025-06-02/2025-06-08,381.5,115.5,7.0,48.5,325.0,1.0,2,2439.4583333333335,3.3333333333333335,3.303030303030303,1.0,0.2631578947368421,0.0921814964082348,0.0994152046783625,0.2245614035087719,0.4415714760613372,1815186.0,1255.0,41762.0,2,14.41169905067686,0.00021017129924977385
DrLupo,2025-06-09/2025-06-15,244.0,92.33333333333333,7.333333333333333,26.0,210.66666666666666,0.0,3,1584.8333333333333,1.3333333333333333,2.6425992779783396,1.0,0.2631578947368421,0.0921814964082348,0.0994152046783625,0.2245614035087719,0.4415714760613372,1815186.0,1255.0,41762.0,2,14.41169905067686,0.00013442148628294842
DrLupo,2025-06-16/2025-06-22,83.0,104.0,3.0,6.0,74.0,0.0,1,449.5,2.0,0.7980769230769231,-2.0,0.2631578947368421,0.0921814964082348,0.0994152046783625,0.2245614035087719,0.4415714760613372,1815186.0,1255.0,41762.0,2,14.41169905067686,4.572534164542917e-05
Jacksepticeye,2025-01-06/2025-01-12,41426.0,235.0,2038.0,168.0,39211.0,9.0,1,,,176.2808510638298,0.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.005431328879379685
Jacksepticeye,2025-02-03/2025-02-09,56378.0,106.0,2869.0,2786.0,50401.0,322.0,1,41426.0,1.0,531.8679245283018,0.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.007391673334661032
Jacksepticeye,2025-02-10/2025-02-16,531.0,60.0,531.0,0.0,0.0,0.0,1,48902.0,1.0,8.85,0.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,6.961897443515215e-05
Jacksepticeye,2025-03-17/2025-03-23,9512.5,135.5,965.5,90.0,8438.0,19.0,2,32778.333333333336,1.0,70.20295202952029,1.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.0012471760721551504
Jacksepticeye,2025-03-31/2025-04-06,80228.0,104.75,5794.0,2196.75,72060.25,177.0,4,22140.5,1.3333333333333333,765.8997613365156,2.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.010518627271155155
Jacksepticeye,2025-05-05/2025-05-11,24130.0,113.5,892.5,209.0,23001.0,27.5,2,30090.5,2.3333333333333335,212.59911894273128,-2.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.0031636645068177428
Jacksepticeye,2025-05-12/2025-05-18,4217.0,48.0,128.0,112.0,3967.0,10.0,1,37956.833333333336,2.6666666666666665,87.85416666666667,-1.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.0005528874109096735
Jacksepticeye,2025-05-19/2025-05-25,18750.0,50.0,649.0,133.0,17958.0,10.0,1,36191.666666666664,2.3333333333333335,375.0,0.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.002458297119885316
Jacksepticeye,2025-05-26/2025-06-01,725.0,97.0,725.0,0.0,0.0,0.0,1,15699.0,1.3333333333333333,7.474226804123711,0.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,9.505415530223223e-05
Jacksepticeye,2025-06-02/2025-06-08,18387.0,121.5,646.5,258.0,17417.5,65.0,2,7897.333333333333,1.0,151.33333333333334,1.0,0.1052631578947368,0.0292077041849613,0.0321637426900584,0.0526315789473684,1.4731878362559399e-09,7627231.0,529.0,18923.0,1,15.8472355589347,0.0024107044876443364
