user_id,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,name,screen_name,followers_count,friends_count,statuses_count,influencer_score,community
214201922,0.47368421052631576,0.1023391812865497,0.14035087719298245,0.3247061584787793,0.06314799620492946,Ninja,Ninja,6528161.0,1515.0,46063.0,1.1548083107019214,0
1542453360,0.10526315789473684,0.06140350877192982,0.07017543859649122,1.4068943836244226e-08,0.047585623971042615,Michael Grzesiek,shroud,1844237.0,1049.0,9830.0,-0.3584801679668529,1
2163885564,0.15789473684210525,0.0,0.11228070175438595,0.14697545675839815,0.030427491992378132,Myth,Myth_,2404818.0,632.0,20433.0,-0.22400458183891808,3
4140881832,0.2631578947368421,0.09941520467836257,0.2245614035087719,0.4415714760613372,0.0921814964082348,DrLupo,DrLupo,1815186.0,1255.0,41762.0,0.9687991603420557,3
995979576,0.42105263157894735,0.12280701754385964,0.16842105263157894,0.3468519195212209,0.10878170757888475,timthetatman👑,timthetatman,2817583.0,1352.0,61194.0,1.1574658637140658,3
204089551,0.05263157894736842,0.0,0.14152046783625732,0.09663665866754276,0.0706074350070639,Tom,Syndicate,1958706.0,232.0,124153.0,-0.2189615340034115,0
1708443876,0.21052631578947367,0.0847953216374269,0.1981424148606811,0.1570018322615396,0.07861736999707929,summit1g,summit1g,1000428.0,1709.0,19811.0,0.29110931414385816,3
375438116,0.0,0.0,0.0,7.3659391812797e-11,0.02275932546725906,pokimane,pokimane,478.0,1.0,1.0,-0.9718562946190331,4
2559865245,0.2631578947368421,0.014619883040935672,0.14645308924485126,0.3705033521917079,0.0587699351305385,Tfue,Tfue,4066596.0,1443.0,6087.0,0.5690178539010027,3
77596200,0.10526315789473684,0.03216374269005848,0.05263157894736842,1.4731878362559399e-09,0.029207704184961325,Jacksepticeye,Jacksepticeye,7627231.0,529.0,18923.0,-0.10623533284976494,1
2708191476,0.05263157894736842,0.0,0.05263157894736842,1.4731878362559399e-09,0.029207704184961325,RAE,Valkyrae,2944525.0,979.0,26024.0,-0.5971050086895036,1
2260704146,0.10526315789473684,0.0,0.17763157894736842,0.15700174828983293,0.044618556255479655,Quackity,Quackity,5780664.0,894.0,8101.0,0.13143399776395556,1
1056396672,0.0,0.0,0.0,7.3659391812797e-11,0.02275932546725906,Grefg =),TheGrefg,8387320.0,1835.0,52141.0,-0.3407139752405998,6
1165011598672650240,0.2631578947368421,0.0,0.29239766081871343,0.5427497404326759,0.12357286016085162,Jynxzi,jynxzi,609082.0,1205.0,1929.0,1.0202550273860636,3
517077573,0.15789473684210525,0.0,0.0,7.3659391812797e-11,0.02275932546725906,Mark,markiplier,13865741.0,382.0,9040.0,0.2514145802443117,1
631800264,0.0,0.0,0.0,7.3659391812797e-11,0.02275932546725906,Lia,sssniperwolf,1073854.0,826.0,53332.0,-0.8910805964235567,5
155620461,0.15789473684210525,0.029239766081871343,0.1547987616099071,0.2135016053750628,0.0562906741276622,Ali-A,OMGitsAliA,2383888.0,1011.0,62634.0,0.1223817567234371,0
272570677,0.05263157894736842,0.0,0.0,7.3659391812797e-11,0.02275932546725906,OpTic Scump,scump,2240844.0,2135.0,57488.0,-0.7433080248985027,3
2830604556,0.10526315789473684,0.0,0.12918660287081338,0.14697545675839815,0.030427491992378132,LAZAR,Lazarbeam,2540244.0,1374.0,14313.0,-0.25408451401172616,0
190946922,0.0,0.0,0.0,7.3659391812797e-11,0.02275932546725906,Poke,pokelawls,146656.0,887.0,18834.0,-0.960855834378802,2
